text,label
Drinking petrol cures coronavirus,FAKE
Aliens landed in New York yesterday night,FAKE
5G towers spread COVID-19 virus,FAKE
NASA confirms Earth will go dark for 6 days,FAKE
Bananas cure cancer instantly,FAKE
Government hiding alien bodies in Area 51,FAKE
Moon is made of cheese scientists confirm,FAKE
Man survives without food for 2 years,FAKE
Vaccines contain microchips for tracking,FAKE
Time travel machine invented in secret lab,FAKE
Shark found swimming in city flood water,FAKE
Chocolate makes you lose 20kg in one week,FAKE
Sun rises from west tomorrow,FAKE
Cure for aging discovered in forest plant,FAKE
People can breathe underwater after new injection,FAKE
Scientists discover humans can photosynthesize,FAKE
Dinosaurs cloned successfully in Europe lab,FAKE
Eating only ice cream increases lifespan,FAKE
Earth flat theory proven by new research,FAKE
New study says sleep not required for humans,FAKE
Government announces new education policy reforms,REAL
Stock market hits record high this week,REAL
Prime Minister addresses nation on economy,REAL
New railway line inaugurated in Chennai,REAL
ISRO successfully launches new satellite,REAL
Rainfall increases in southern districts,REAL
University releases semester examination results,REAL
New metro project approved by cabinet,REAL
Fuel prices revised by oil companies,REAL
Supreme Court announces new judgment,REAL
Government introduces digital payment scheme,REAL
New bridge construction completed ahead of schedule,REAL
Health ministry reports decline in flu cases,REAL
Central bank updates interest rates,REAL
Police arrest suspect in robbery case,REAL
Electric buses introduced in city transport,REAL
Farmers receive subsidy from state government,REAL
International cricket series begins today,REAL
Technology company launches new smartphone model,REAL
New traffic rules implemented from Monday,REAL
Local elections results declared officially,REAL
School board announces syllabus revision,REAL
Weather department predicts heavy rainfall,REAL
Public hospital opens new emergency wing,REAL
Scientists discover new species in Amazon forest,REAL
Government launches employment scheme for youth,REAL
Bank announces reduction in loan interest rates,REAL
New airport terminal inaugurated by officials,REAL
University hosts international conference on AI,REAL
Healthcare workers receive appreciation award,REAL
City corporation starts cleanliness drive,REAL
National highway expansion project approved,REAL
State government releases annual budget report,REAL
Researchers publish study on climate change,REAL
Railway ministry increases train frequency,REAL
IT company reports quarterly profit growth,REAL
Police department introduces new safety app,REAL
Medical team develops improved vaccine formula,REAL
Sports authority organizes national tournament,REAL
Environmental agency issues pollution warning,REAL
